label,ax,ay,az,gx,gy,gz
0,14136,-4188,8008,116,259,439
0,13916,-3696,8452,-206,586,-65
0,14156,-4288,8032,-569,333,-626
0,13780,-3536,8492,-665,666,-835
0,14112,-3396,9440,-1561,236,-656
0,14088,-3664,9124,-6213,9805,-4661
0,14160,-3716,8148,-4578,7928,-3028
0,10760,-3692,10756,-2765,1102,-6424
0,15356,-2704,8244,1000,-3934,-639
0,12884,-1756,10372,-385,828,505
0,13532,-2120,10720,13,-1056,-334
0,13676,-1716,9644,404,-397,-408
0,12880,-2756,10160,647,-373,-564
0,14500,-1616,7320,3940,-3337,4762
0,14092,-8152,5348,435,-471,15468
0,9840,-56,14984,2627,2321,-6480
0,12128,-3632,11280,416,2226,258
0,13216,-2944,11844,470,2520,-755
0,13472,-4488,8424,-748,-744,4
0,13236,-4132,10664,-1805,2091,1569
0,12988,-5392,9280,-1476,260,654
0,12868,-4712,9604,-815,-363,-150
0,12592,-4772,9756,-528,262,216
0,12344,-5640,10328,-424,-520,-712
0,12516,-4492,10724,-732,376,-15
0,12500,-5392,9692,1947,1048,-2717
0,11932,-5096,11808,-1413,88,1837
0,12496,-6152,9372,151,-116,642
0,12440,-5212,10180,88,-972,902
0,12348,-4984,9924,-2327,-1599,5276
0,12596,-8396,6460,-7018,2905,8827
0,9568,-11500,9416,-3120,3308,3180
0,10404,-8904,8108,-1602,23,44
0,9868,-9656,8912,150,-668,-1336
0,9948,-10660,9856,1713,-1567,-3779
0,10964,-8512,9352,2158,78,-3416
0,12064,-8076,8860,1297,1400,-3645
0,11544,-6468,9960,1839,1663,-4736
0,11704,-6656,9504,-2469,-1064,5236
0,10988,-8856,10064,-627,215,1909
0,11628,-7812,9024,-10,186,1103
0,10612,-8744,10164,-123,609,-32
0,11080,-8232,9468,686,648,-226
0,11020,-8352,9696,-131,383,-350
0,10936,-8180,9552,16,646,242
0,11152,-10036,9924,132,-194,-4190
0,12224,-5252,5196,-951,2054,2879
0,11732,-7560,9564,756,-665,-685
0,11080,-8232,10424,1691,27,-955
0,11176,-6856,10312,3025,723,-2637
